Title,Description,Link,Date,Location
Blažka Križan: Teksture časa,"
Tue Mar 12 2024 00:00:00 GMT+0100 (Central European Standard Time)
Mon May 13 2024 23:59:59 GMT+0200 (Central European Summer Time)
 Cankarjev dom, prvo preddverje Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20prvo%20preddverje-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 12. marec 2024",
Festival dokumentarnega filma (FDF),"
Wed Mar 13 2024 00:00:00 GMT+0100 (Central European Standard Time)
Thu Mar 21 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 13. marec 2024",
KINO: SREČNO NAKLUČJE,"
Thu Mar 14 2024 10:00:00 GMT+0100 (Central European Standard Time)
 Ipavčev kulturni center Šentjur Šentjur",https://dogodki.kulturnik.si/?where=Ipav%C4%8Dev%20kulturni%20center%20%C5%A0entjur-https://dogodki.kulturnik.si/?where=%C5%A0entjur,"četrtek, 14. marec 2024",
Dejan Vunjak in Brendijeve barabe,"
Fri Mar 15 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Kulturni center Semič Semič",https://dogodki.kulturnik.si/?where=Kulturni%20center%20Semi%C4%8D-https://dogodki.kulturnik.si/?where=Semi%C4%8D,"petek, 15. marec 2024",
Bobri,"
Sat Mar 16 2024 00:00:00 GMT+0100 (Central European Standard Time)
Sun Apr 07 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 16. marec 2024",
26. Festival dokumentarnega filma: Neuvrščeni: Dosje Labudović,"
Sun Mar 17 2024 11:00:00 GMT+0100 (Central European Standard Time)
 Kinodvor Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor-https://dogodki.kulturnik.si/?where=Ljubljana,"nedelja, 17. marec 2024",
Odprta vrata v maturo 2024,"
Mon Mar 18 2024 16:00:00 GMT+0100 (Central European Standard Time)
 Veliki oder LGL Ljubljana",https://dogodki.kulturnik.si/?where=Veliki%20oder%20LGL-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 18. marec 2024",
Palčica,"
Tue Mar 19 2024 09:30:00 GMT+0100 (Central European Standard Time)
 Kulturnica LGL Ljubljana",https://dogodki.kulturnik.si/?where=Kulturnica%20LGL-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 19. marec 2024",
Igrajmo se gledališče,"
Wed Mar 20 2024 08:30:00 GMT+0100 (Central European Standard Time)
 Ipavčev kulturni center Šentjur Šentjur",https://dogodki.kulturnik.si/?where=Ipav%C4%8Dev%20kulturni%20center%20%C5%A0entjur-https://dogodki.kulturnik.si/?where=%C5%A0entjur,"sreda, 20. marec 2024",
Bach Collegium Barcelona Duo (ES),"
Thu Mar 21 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Radio Slovenija, tretji program, program ARS",https://dogodki.kulturnik.si/?where=Radio%20Slovenija%2C%20tretji%20program%2C%20program%20ARS,"četrtek, 21. marec 2024",
Ansambel Modrijani,"
Fri Mar 22 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Mirna Peč",https://dogodki.kulturnik.si/?where=Mirna%20Pe%C4%8D,"petek, 22. marec 2024",
NI KINO,"
Sat Mar 23 2024 00:00:00 GMT+0100 (Central European Standard Time)
Sun Mar 24 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Kino Delavski Dom Trbovlje Trbovlje",https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje-https://dogodki.kulturnik.si/?where=Trbovlje,"sobota, 23. marec 2024",
Ansambel Modrijani,"
Sun Mar 24 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Pivka",https://dogodki.kulturnik.si/?where=Pivka,"nedelja, 24. marec 2024",
Alojz Ajdič: Miši v operni hiši,"
Mon Mar 25 2024 11:00:00 GMT+0100 (Central European Standard Time)
 SNG Opera Balet Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=SNG%20Opera%20Balet%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 25. marec 2024",
V dobrih rokah,"
Tue Mar 26 2024 17:00:00 GMT+0100 (Central European Standard Time)
 Oder pod zvezdami LGL Ljubljana",https://dogodki.kulturnik.si/?where=Oder%20pod%20zvezdami%20LGL-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 26. marec 2024",
TRESK festival,"
Wed Mar 27 2024 00:00:00 GMT+0100 (Central European Standard Time)
Sat Mar 30 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 27. marec 2024",
Neposlušno 2024,"
Thu Mar 28 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Center kulture Španski borci Ljubljana",https://dogodki.kulturnik.si/?where=Center%20kulture%20%C5%A0panski%20borci-https://dogodki.kulturnik.si/?where=Ljubljana,"četrtek, 28. marec 2024",
Dejan Vunjak in Brendijeve barabe,"
Fri Mar 29 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Gledališče Toneta Čufarja Jesenice Jesenice",https://dogodki.kulturnik.si/?where=Gledali%C5%A1%C4%8De%20Toneta%20%C4%8Cufarja%20Jesenice-https://dogodki.kulturnik.si/?where=Jesenice,"petek, 29. marec 2024",
Neposlušno 2024,"
Sat Mar 30 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Center kulture Španski borci Ljubljana",https://dogodki.kulturnik.si/?where=Center%20kulture%20%C5%A0panski%20borci-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 30. marec 2024",
KUNG FU PANDA 4,"
Sun Mar 31 2024 17:00:00 GMT+0200 (Central European Summer Time)
 Kinoklub Vič Ljubljana",https://dogodki.kulturnik.si/?where=Kinoklub%20Vi%C4%8D-https://dogodki.kulturnik.si/?where=Ljubljana,"nedelja, 31. marec 2024",
Gozd raja,"
Tue Apr 02 2024 17:00:00 GMT+0200 (Central European Summer Time)
 Ipavčev kulturni center Šentjur Šentjur",https://dogodki.kulturnik.si/?where=Ipav%C4%8Dev%20kulturni%20center%20%C5%A0entjur-https://dogodki.kulturnik.si/?where=%C5%A0entjur,"torek, 2. april 2024",
Mladinski pevski festival Celje 2024,"
Wed Apr 03 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Apr 07 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Celje",https://dogodki.kulturnik.si/?where=Celje,"sreda, 3. april 2024",
Ensemble Tacet (SI),"
Thu Apr 04 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Radio Slovenija, tretji program, program ARS",https://dogodki.kulturnik.si/?where=Radio%20Slovenija%2C%20tretji%20program%2C%20program%20ARS,"četrtek, 4. april 2024",
Dejan Vunjak in Brendijeve barabe,"
Fri Apr 05 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Kulturni center Primoža Trubarja Šentjernej",https://dogodki.kulturnik.si/?where=Kulturni%20center%20Primo%C5%BEa%20Trubarja-https://dogodki.kulturnik.si/?where=%C5%A0entjernej,"petek, 5. april 2024",
Državno tekmovanje mladinskih zborov 2024,"
Sat Apr 06 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Apr 07 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Celje",https://dogodki.kulturnik.si/?where=Celje,"sobota, 6. april 2024",
Korzet,"
Sun Apr 07 2024 19:00:00 GMT+0200 (Central European Summer Time)
Sun Apr 07 2024 20:53:00 GMT+0200 (Central European Summer Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"nedelja, 7. april 2024",
Amira Medunjanin,"
Mon Apr 08 2024 20:00:00 GMT+0200 (Central European Summer Time)
 Kosovelov dom Sežana Sežana",https://dogodki.kulturnik.si/?where=Kosovelov%20dom%20Se%C5%BEana-https://dogodki.kulturnik.si/?where=Se%C5%BEana,"ponedeljek, 8. april 2024",
"Interesno območje (105', zgodovinska vojna drama)","
Tue Apr 09 2024 00:00:00 GMT+0200 (Central European Summer Time)
Wed Apr 10 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Kino Delavski Dom Trbovlje Trbovlje",https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje-https://dogodki.kulturnik.si/?where=Trbovlje,"torek, 9. april 2024",
Kristalni abonma: Mladi ločani,"
Wed Apr 10 2024 19:00:00 GMT+0200 (Central European Summer Time)
 Sokolski dom Škofja Loka",https://dogodki.kulturnik.si/?where=Sokolski%20dom-https://dogodki.kulturnik.si/?where=%C5%A0kofja%20Loka,"sreda, 10. april 2024",
5. koncert Mladinskega cikla 2023/2024: Vse o klavirskem triu,"
Thu Apr 11 2024 15:00:00 GMT+0200 (Central European Summer Time)
 Narodni dom Maribor Maribor",https://dogodki.kulturnik.si/?where=Narodni%20dom%20Maribor-https://dogodki.kulturnik.si/?where=Maribor,"četrtek, 11. april 2024",
Festival Odprte hiše Slovenije,"
Fri Apr 12 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Apr 15 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 12. april 2024",
DA! 5 Glasbena pravljica Štirje godci,"
Sat Apr 13 2024 10:00:00 GMT+0200 (Central European Summer Time)
 Slovenska filharmonija Ljubljana",https://dogodki.kulturnik.si/?where=Slovenska%20filharmonija-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 13. april 2024",
GRK ZORBA,"
Sun Apr 14 2024 17:00:00 GMT+0200 (Central European Summer Time)
 SNG Maribor: Dvorana Ondine Otta Klasinc... Maribor",https://dogodki.kulturnik.si/?where=SNG%20Maribor%3A%20Dvorana%20Ondine%20Otta%20Klasinc...-https://dogodki.kulturnik.si/?where=Maribor,"nedelja, 14. april 2024",
Gruzijski nacionalni balet Sukišvili,"
Mon Apr 15 2024 20:00:00 GMT+0200 (Central European Summer Time)
Mon Apr 15 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 15. april 2024",
Abonma Liffe po Liffu: Nesrečna bitja (Poor Things),"
Tue Apr 16 2024 19:30:00 GMT+0200 (Central European Summer Time)
Tue Apr 16 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 16. april 2024",
Po soncu,"
Wed Apr 17 2024 10:00:00 GMT+0200 (Central European Summer Time)
Wed Apr 17 2024 11:38:00 GMT+0200 (Central European Summer Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 17. april 2024",
Ensemble Pampinea (CH),"
Thu Apr 18 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Radio Slovenija, tretji program, program ARS",https://dogodki.kulturnik.si/?where=Radio%20Slovenija%2C%20tretji%20program%2C%20program%20ARS,"četrtek, 18. april 2024",
Dejan Vunjak in Brendijeve barabe,"
Fri Apr 19 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Gledališče Park Murska Sobota",https://dogodki.kulturnik.si/?where=Gledali%C5%A1%C4%8De%20Park-https://dogodki.kulturnik.si/?where=Murska%20Sobota,"petek, 19. april 2024",
Zmelkoow,"
Sat Apr 20 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Kulturni center Mostovna Solkan",https://dogodki.kulturnik.si/?where=Kulturni%20center%20Mostovna-https://dogodki.kulturnik.si/?where=Solkan,"sobota, 20. april 2024",
Dejan Vunjak in Brendijeve barabe,"
Sun Apr 21 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Kulturni dom Krško Krško",https://dogodki.kulturnik.si/?where=Kulturni%20dom%20Kr%C5%A1ko-https://dogodki.kulturnik.si/?where=Kr%C5%A1ko,"nedelja, 21. april 2024",
SLG Celje: Juriš,"
Mon Apr 22 2024 19:00:00 GMT+0200 (Central European Summer Time)
Mon Apr 22 2024 21:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 22. april 2024",
Orto Fest: Društvo Mrtvih Pesnikov,"
Tue Apr 23 2024 20:00:00 GMT+0200 (Central European Summer Time)
 Orto Bar Ljubljana",https://dogodki.kulturnik.si/?where=Orto%20Bar-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 23. april 2024",
Klavirski trio,"
Wed Apr 24 2024 19:30:00 GMT+0200 (Central European Summer Time)
Wed Apr 24 2024 21:00:00 GMT+0200 (Central European Summer Time)
 Slovenska filharmonija Ljubljana",https://dogodki.kulturnik.si/?where=Slovenska%20filharmonija-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 24. april 2024",
Dejan Vunjak in Brendijeve barabe,"
Thu Apr 25 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Kulturni center Rogaška Slatina Rogaška Slatina",https://dogodki.kulturnik.si/?where=Kulturni%20center%20Roga%C5%A1ka%20Slatina-https://dogodki.kulturnik.si/?where=Roga%C5%A1ka%20Slatina,"četrtek, 25. april 2024",
Jazz Club Ljubljanski grad: Balkan Boys,"
Fri Apr 26 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljanski grad Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljanski%20grad-https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 26. april 2024",
Orto Fest: RVR River / Romachild,"
Sat Apr 27 2024 20:00:00 GMT+0200 (Central European Summer Time)
 Orto Bar Ljubljana",https://dogodki.kulturnik.si/?where=Orto%20Bar-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 27. april 2024",
Dejan Vunjak in Brendijeve barabe,"
Sun Apr 28 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Kulturni center Kočevje Kočevje",https://dogodki.kulturnik.si/?where=Kulturni%20center%20Ko%C4%8Devje-https://dogodki.kulturnik.si/?where=Ko%C4%8Devje,"nedelja, 28. april 2024",
64. Jazz festival Ljubljana: John Zorn New Masada Quartet,"
Mon Apr 29 2024 20:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 29. april 2024",
SITI TROJČEK - abonma 2023/24,"
Tue Apr 30 2024 00:00:00 GMT+0200 (Central European Summer Time)
 SiTiTeater, Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=SiTiTeater%2C%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 30. april 2024",
Josetxu Obreg�n (ES),"
Thu May 02 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Radio Slovenija, tretji program, program ARS",https://dogodki.kulturnik.si/?where=Radio%20Slovenija%2C%20tretji%20program%2C%20program%20ARS,"četrtek, 2. maj 2024",
SMS 5: Za vse po vrsti,"
Sat May 04 2024 19:30:00 GMT+0200 (Central European Summer Time)
Sat May 04 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 4. maj 2024",
Karol Szymanowski Quartet,"
Mon May 06 2024 20:15:00 GMT+0200 (Central European Summer Time)
 Dom kulture Nova Gorica Nova Gorica",https://dogodki.kulturnik.si/?where=Dom%20kulture%20Nova%20Gorica-https://dogodki.kulturnik.si/?where=Nova%20Gorica,"ponedeljek, 6. maj 2024",
Dr. Svetlana Slapšak: Onkraj stvarnosti: čudežna bitja,"
Tue May 07 2024 18:00:00 GMT+0200 (Central European Summer Time)
Tue May 07 2024 20:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 7. maj 2024",
Bienale neodvisnih,"
Wed May 08 2024 00:00:00 GMT+0200 (Central European Summer Time)
Thu Jun 27 2024 23:59:59 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Mala galerija Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Mala%20galerija-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 8. maj 2024",
FKK 5: Za radožive,"
Thu May 09 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom-https://dogodki.kulturnik.si/?where=Ljubljana,"četrtek, 9. maj 2024",
FKK 5: Za radožive,"
Fri May 10 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom-https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 10. maj 2024",
Podvodni koncert,"
Sat May 11 2024 15:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 11. maj 2024",
"Prideš, skočiš, padeš!","
Sun May 12 2024 20:00:00 GMT+0200 (Central European Summer Time)
Sun May 12 2024 21:22:22 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Klub CD Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Klub%20CD-https://dogodki.kulturnik.si/?where=Ljubljana,"nedelja, 12. maj 2024",
FKK 6: Za konec sezone,"
Mon May 13 2024 19:30:00 GMT+0200 (Central European Summer Time)
Mon May 13 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 13. maj 2024",
Abonma Liffe po Liffu: Interesno območje (The Zone of Interest),"
Tue May 14 2024 19:30:00 GMT+0200 (Central European Summer Time)
Tue May 14 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 14. maj 2024",
Modri kaftan,"
Wed May 15 2024 10:00:00 GMT+0200 (Central European Summer Time)
Wed May 15 2024 12:04:00 GMT+0200 (Central European Summer Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 15. maj 2024",
Nova Schola Labacensis (SI) - kopija,"
Thu May 16 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Radio Slovenija, tretji program, program ARS",https://dogodki.kulturnik.si/?where=Radio%20Slovenija%2C%20tretji%20program%2C%20program%20ARS,"četrtek, 16. maj 2024",
Mednarodni trienale umetnost in okolje,"
Fri May 17 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Jul 28 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Maribor",https://dogodki.kulturnik.si/?where=Maribor,"petek, 17. maj 2024",
Symphonika On the Rock,"
Sat May 18 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 18. maj 2024",
TOSCA,"
Sun May 19 2024 17:00:00 GMT+0200 (Central European Summer Time)
 SNG Maribor: Dvorana Ondine Otta Klasinc... Maribor",https://dogodki.kulturnik.si/?where=SNG%20Maribor%3A%20Dvorana%20Ondine%20Otta%20Klasinc...-https://dogodki.kulturnik.si/?where=Maribor,"nedelja, 19. maj 2024",
Giacomo Puccini: Tosca,"
Tue May 21 2024 19:30:00 GMT+0200 (Central European Summer Time)
 SNG Maribor Maribor",https://dogodki.kulturnik.si/?where=SNG%20Maribor-https://dogodki.kulturnik.si/?where=Maribor,"torek, 21. maj 2024",
Pogovori s skladatelji - Cikel 1808: Igor Majcen,"
Wed May 22 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Kogojeva dvorana DSS, Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=Kogojeva%20dvorana%20DSS%2C%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 22. maj 2024",
Mednarodni festival Druga godba,"
Thu May 23 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon May 27 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"četrtek, 23. maj 2024",
Svetlobna gverila,"
Fri May 24 2024 00:00:00 GMT+0200 (Central European Summer Time)
Wed Jun 26 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 24. maj 2024",
