Title,Details,Maplink,Description,Link
Otvoritev 7. Zimskega festivala,"  Datum: 18. 02. 2024 ob 19:30
  Kraj: Ljubljana, Cankarjev dom 
  Tip: Festivali, Glasbene prireditve, Kulturne prireditve
  Kontakt: Festival Ljubljana +386 (0)1/241 60 00 info@ljubljanafestival.si 
","https://www.google.com/maps/dir/Current+Location/46.05,14.4993","
Vljudno vabljeni na otvoritev 7. Zimskega festivala, na katerem bodo nastopili  tajvanski pianist Kai-Min Chang, mešani pevski zbor Glasbene matice Ljubljana, Festivalski zbor Virtuozi in sopranistka Sophie Marin-Degor, mezzosopranistka Annalisa Stroppa, tenorist Celso Albelo ter basbaritonist Paul Armin Edelmann z izvedbo Rekviema Camilla Saint-Saënsa.
 Vljudno vabljeni na otvoritev 7. Zimskega festivala, na katerem bodo nastopili  tajvanski pianist Kai-Min Chang, mešani pevski zbor Glasbene matice Ljubljana, Festivalski zbor Virtuozi in sopranistka Sophie Marin-Degor, mezzosopranistka Annalisa Stroppa, tenorist Celso Albelo ter basbaritonist Paul Armin Edelmann z izvedbo Rekviema Camilla Saint-Saënsa. V prvem delu otvoritvenega večera bo nastopil tajvanski pianist Kai-Min Chang, zmagovalec 1. Mednarodnega klavirskega tekmovanja Festivala Ljubljana v letošnjem letu. Kot solist se bo predstavil v enem najzahtevnejših in najobsežnejših klavirskih koncertov, Koncertu za klavir in orkester št. 2 v B-duru Johannesa Brahmsa, za katerega je skladatelj potreboval kar tri leta, da ga je napisal. Delo, ki ga mnogi imenujejo kar “opus summum”, naj bi označevalo njegovo veličino v skladateljevem opusu in hkrati vrhunec koncertantnega ustvarjanja za klavir v 19. stoletju. Skladba združuje lastnosti koncerta in simfonije, njena struktura je podrejena muzikalnemu izrazu, tehnično zahtevna interpretacija pa je velik izziv vsakemu pianistu. V drugem delu koncertnega večera se bodo Simfoničnemu orkestru RTV Slovenija in uglednemu francoskemu dirigentu Yanu Pascalu Tortelierju pridružili še Mešani pevski zbor Glasbene matice Ljubljana, Festivalski zbor Virtuozi in sopranistka Sophie Marin-Degor, mezzosopranistka Annalisa Stroppa, tenorist Celso Albelo ter basbaritonist Paul Armin Edelmann z izvedbo Rekviema Camilla Saint-Saënsa. Program:  J. Brahms: Koncert za klavir in orkester št. 2 v B-duru, op. 83
L. Boulanger: “Gospodova je zemlja”, Psalm 24
C. Saint Saëns: Rekviem, op. 54",https://ljubljanafestival.si/event/solisti-kai-min-chang-klavirsophie-marin-degor-sopran-annalisa-stroppa-mezzosopran-celso-albelo-tenor-paul-armin-edelmann-basdirigent-yan-pascal-tortelier/
Ana Srčna,"  Datum: 01. 03. 2024 ob 18:00
  Kraj: Ljubljana, Travnik pred Cukrarno 
  Tip: Kulturne prireditve, Zabavne prireditve
  Kontakt: TIC Ljubljana 0 1 306 12 15 tic@visitljubljana.si 
","https://www.google.com/maps/dir/Current+Location/46.05,14.5199","
Ko bo v prvih dneh prvega pomladnega meseca nad Ljubljano legla tema, bo tam, kjer Ljubljanica zavije proti mestu in v Gruberjev kanal, zažarel festival ANA SRČNA. 
 Ko bo v prvih dneh prvega pomladnega meseca nad Ljubljano legla tema, bo tam, kjer Ljubljanica zavije proti mestu in v Gruberjev kanal, zažarel festival ANA SRČNA.  Prizorišče te(ga) bo namreč park na Špici, priljubljeno mestno zbirališče in sprehajališče, ki ga bomo s stotinami ognjenih in svetlobnih elementov za nekaj ur spremenili v kopico čarobnih ambientov, ter vas povabili vanje na iskrivo in interaktivno doživetje ljubezni. Ta je lahko srečna in večna, ali pa neuslišana, boleča in tečna. Zato ne kažite s prstom na nas, če vas bo Amorjeva puščica zadela, in bo preskočila ter vzplamtela iskrica strasti, ali če bo le-ta izgorela/dogorela. Ne krivite nas, če se boste nepričakovano poročili, še manj, če se boste ločili, in pazite, da vas ne zaslepijo skrivnostna ožarjena bitja, da vas očarljiva pevska vila ne zapelje, ter spogledljiva nevesta neznano kam odpelje. Prisrčno vabljeni na večerni sprehod skozi svetlobno-doživljajski ambient, ki ga bosta zaznamovali ljubezen goreča in barva te, rdeča. Toda zapomnite si: vstopili boste na lastno odgovornost!  ",http://visitljubljana.com/sl/obiskovalci/nacrtujte-svoj-obisk/prireditve/ana-srcna/
FIS svetovni pokal v alpskem smučanju Vitranc,"  Datum: 09. 03. 2024 - 10. 03. 2024 
  Kraj: Podkoren, Vitranc 
  Tip: Športne prireditve
  Kontakt: info@pokal-vitranc.com 
","https://www.google.com/maps/dir/Current+Location/46.4838,13.7615","
V sezoni 2023/2024 bo tekmovanje za Pokal Vitranc zabeležilo že svojo 63. izvedbo. Dva dni bodo najboljši veleslalomisti merili svoje moči na strmini v Podkorenu in se borili za najboljša mesta.
 V sezoni 2023/2024 bo tekmovanje za Pokal Vitranc zabeležilo že svojo 63. izvedbo. Dva dni bodo najboljši veleslalomisti merili svoje moči na strmini v Podkorenu in se borili za najboljša mesta. Pokal Vitranc je danes ena izmed največjih, najbolje organiziranih in najbolj obiskanih tradicionalnih športnih prireditev v Sloveniji in v osrednjem delu Evrope. Prvi smučarji so se na tekmovanju za Pokal Vitranc prvič pomerili leta 1961, od leta 1968 pa je Pokal Vitranc del svetovnega pokala v alpskem smučanju Mednarodne smučarske zveze FIS. V 62 letih zgodovine, se je oralo ledino organizacije velikih športnih dogodkov, rasla je organizacija, nabirale so se izkušnje in znanje, ki so se predajale iz roda v rod. Prav ta tradicija v zavesti prebivalcev Kranjske Gore ter okoliških vasi daje njihovemu prostovoljnemu delu poseben čar in zanos zaradi katerega je Kranjskogorska tekma svetovnega pokala verjetno ena najbolj pristnih. Prav zato je Pokal Vitranc trdno zasidran v koledarju Mednarodne smučarske zveze tudi v prihodnosti.",https://pokal-vitranc.com/
Ko se ptički ženijo,"  Datum: 09. 03. 2024 ob 11:00
  Kraj: Ljubljana, Prirodoslovni muzej Slovenije 
  Tip: Kulturne prireditve
","https://www.google.com/maps/dir/Current+Location/46.0521,14.4995","
Po izročilu se ptički prično ženit že na Valentinovo, za gregorjevo pa svatbenega obnašanja naših pernatih prijateljev ne moremo več prezreti. 
 Po izročilu se ptički prično ženit že na Valentinovo, za gregorjevo pa svatbenega obnašanja naših pernatih prijateljev ne moremo več prezreti.  Pogovarjali se bomo o tem, kako si ptice izbirajo partnerje, kakšno vlogo prevzameta starša pri različnih vrstah in ali so si pari pri nekaterih vrstah zvesti celo življenje. Izdelali boste lahko tudi mobile (obešanko) z raznobarvnimi ptički.",https://www.pms-lj.si/trgovina/on-line-nakup-vstopnic/ko-se-pticki-zenijo-16-3-2024/
Gregorjevo - Vuč u vodo,"  Datum: 11. 03. 2024
  Kraj: Tržič, Tržič - staro mestno jedro 
  Tip: Etnološke prireditve
  Kontakt: Občina Tržič, Trg svobode 18, 4290 Tržič +386 4 59 71 524 informacije@trzic.si 
  Organizator: Občina Tržič, Trg svobode 18, 4290 Tržič 
","https://www.google.com/maps/dir/Current+Location/46.3634,14.309","
Gregorjevo ali »Vuč u vodo« je tržiški običaj, ki je v preteklosti živel med domačimi čevljarji. Na ta dan so namreč v svojih delavnicah prenehali z delom pri luči.
 Tržiška šega “Vuč u vodo” nedvomno spada med najlepše in najtežje pričakovane dogodke v koledarskem letu. Šego obujamo 11. marca, na predvečer sv. Gregorja. Gre za večstoletni tržiški običaj, ki je v preteklosti živel med domačimi čevljarji. Na ta dan so namreč v svojih delavnicah prenehali z delom pri luči. Čevljarski vajenci so svoje mojstre prosili za dovoljenje izdelati hišice med “šihtom” (delovnim dnem). Vsak vajenec je zgrabil najbližji “camboh” (pehar ali košaro), ga napolnil z oblanci, vse skupaj pomešal z močnim lepilom, zažgal in pehar spustil po vodi. Ker čevljarskih vajencev v Tržiču ni več, to šego obujajo otroci tržiških vrtcev in šol. Na predvečer gregorjevega se zberejo in spustijo hišice po Tržiški Bistrici. Program popestri večdnevna razstava gregorčkov tržiških otrok in številni spremljevalni dogodki.",http://www.visit-trzic.com/prireditve/vuc-u-vodo.html
FIS finale svetovnega pokala v smučarskih skokih Planica 2024,"  Datum: 21. 03. 2024 - 24. 03. 2024 
  Kraj: Planica, Nordijski center Planica 
  Tip: Športne prireditve
  Kontakt: planica@sloski.si 
  Organizator: Zavod Sloski 
","https://www.google.com/maps/dir/Current+Location/46.4838,13.7249","
Planica bo med 21. in 24. marcem 2024 gostila tradicionalen zaključek svetovnega pokala v smučarskih skokih.
 Planica bo med 21. in 24. marcem 2024 gostila tradicionalen zaključek svetovnega pokala v smučarskih skokih. Uradni del se bo na letalnici bratov Gorišek začel v četrtek s kvalifikacijami, ki si jih bodo ogledali tudi številni šolarji. Petek je rezerviran za prvo posamično tekmo, vrhunec tekmovalnega konca tedna v dolini pod Poncami bo sobotna ekipna tekma. Nedelja bo v znamenju zadnje posamične tekme v poletih, s katero se bo končala tekmovalna sezona 2023/2024. Slovenski orli bodo pod vodstvom glavnega trenerja znova iskali priložnosti za osvojitev najvišjih mest pred domačimi navijači.",http://www.planica.si/
Med naravo in kulturo,"  Datum: 09. 03. 2006 - 31. 01. 2030 
  Kraj: Ljubljana, Slovenski etnografski muzej 
  Tip: Kulturne prireditve
  Opomba: Za več informacij obiščite spletno stran organizatorja. 
","https://www.google.com/maps/dir/Current+Location/46.055,14.5162","
Razstava je zakladnica slovenske in zunaj evropske dediščine vsakdana in praznika z več kot 3000 razstavljenimi predmeti.
 Razstava je zakladnica slovenske in zunaj evropske dediščine vsakdana in praznika z več kot 3000 razstavljenimi predmeti. Na razstavi kustosi SEM pripovedujejo svojo zgodbo njihovih zgodb: predstavljajo bogastvo namenov, za kakršne so naši prednamci predmete izdelovali, jih uporabljali in kako so se skozi prostor in čas razlikovale in spreminjale njihove oblike, ki jih pogojuje univerzalna težnja po preživetju v naravnem okolju, v katerem smo se rodili.",https://www.visitljubljana.com/sl/obiskovalci/nacrtujte-svoj-obisk/prireditve/med-naravo-in-kulturo/
Plečnikova Lectarija,"  Datum: 01. 06. 2022 - 01. 06. 2032 
  Kraj: Ljubljana, Slovenski etnografski muzej 
  Tip: Kulturne prireditve, Etnološke prireditve
","https://www.google.com/maps/dir/Current+Location/46.0551,14.5165","
Načrte za Lectarijo, prodajalno domače in umetne obrti na Kongresnem trgu v Ljubljani, ki sta jo vodila Robert Freyer in Henrieta Krbavčič – Freyer, je izdelal arhitekt Jože Plečnik leta 1939. Z izbranim pohištvom, svetili in miniaturami je z njemu prepoznano govorico ustvaril poseben prostor in poklon rokodelskim izdelkom.
 Načrte za Lectarijo, prodajalno domače in umetne obrti na Kongresnem trgu v Ljubljani, ki sta jo vodila Robert Freyer in Henrieta Krbavčič – Freyer, je izdelal arhitekt Jože Plečnik leta 1939. Z izbranim pohištvom, svetili in miniaturami je z njemu prepoznano govorico ustvaril poseben prostor in poklon rokodelskim izdelkom. Navdih in pobudo za izdelavo načrtov je arhitekt našel tudi v svečarski in medičarski delavnici Jakoba Krbavčiča na Trubarjevi ulici, kamor je rad zahajal in kjer so ga s svojo skladnostjo in lepoto materialov navdihovali izdelki iz voska in lecta. Opremi obeh lokalov, Lectarije in Krbavčičeve svečarske in medičarske delavnice, sta danes muzealiji, ki ju je Slovenski etnografski muzej prevzel v svojo hrambo. Na novi stalni razstavi Plečnikova Lectarija, sedaj ponovno povezani, pričata o Plečnikovem globokem razumevanju in spoštovanju umetnostno obrtnega dela. Pričata o tradiciji in pomenu svečarske in medičarske obrti, vezeh med družinama Krbavčič in Freyer in spominih njunih potomcev. Avtorica koncepta razstave in kustosinja je dr. Tanja Roženbergar. Kot pravi sama, je razstava Plečnikova Lectarija “zgodba o medičarskih in svečarskih izdelkih, rokodelskih znanjih in sodelovanju, prijateljstvu, ljubezni in življenjski zgodbi dveh družin, ki ju povezujeta Ljubljana in arhitekt Jože Plečnik”.",https://www.etno-muzej.si/sl/razstave/plecnikova-lectarija
Pogled z druge strani,"  Datum: 26. 10. 2023 - 18. 02. 2024 
  Kraj: Ljubljana, Mestni muzej Ljubljana - MGML 
  Tip: Kulturne prireditve
  Opomba: Za več informacij obiščite spletno stran organizatorja. 
","https://www.google.com/maps/dir/Current+Location/45.5399,14.504","
Kaj se skriva za muzejskimi predmeti, ki se v vsej svoji veličini bohotijo na razstavi v Mestnem muzeju Ljubljana?
 Kaj se skriva za muzejskimi predmeti, ki se v vsej svoji veličini bohotijo na razstavi v Mestnem muzeju Ljubljana? Ko obiskovalci zrejo v razstavljene predmete in se poglabljajo v njihove zgodbe, redkokdaj pomislijo, koliko truda in znanja je bilo vloženega za obstanek predmeta. Kdo – in kako – je ohranil materiale, ki bi zaradi starosti in drugih okoliščin morali že zdavnaj propasti? Razstava pred vami razkriva to ozadje: delo konservatorjev-restavratorjev, ki v Muzeju in galerijah mesta Ljubljane poteka v okviru konservatorske službe, v konservatorsko-restavratorski delavnici Ščit.",https://mgml.si/sl/mestni-muzej/razstave/626/pogled-z-druge-strani/
Zlata doba,"  Datum: 30. 11. 2023 - 02. 02. 2024 
  Kraj: Ljubljana, Atelje Galerija 
  Tip: Kulturne prireditve
  Kontakt: +386 (0)1 421 34 50 info@ateljegalerija.si 
","https://www.google.com/maps/dir/Current+Location/46.047,14.5061","
Akademska slikarka in mojstrica grafike Biljana Unkovska v svojih delih povezuje figuro, ki jo najraje odkriva v liku živali, svet predmetov v pomensko bogatih simbolih in umišljeni pejsaž v smislu prvobitnega raja.
 Akademska slikarka in mojstrica grafike Biljana Unkovska v svojih delih povezuje figuro, ki jo najraje odkriva v liku živali, svet predmetov v pomensko bogatih simbolih in umišljeni pejsaž v smislu prvobitnega raja. Naslov razstave zato ne pomeni le zláto, temveč tudi asociacijo na srednjeveški hortus conclusus ter na izgubljeno Arkadijo t. i. zlato dobo, ko je človeštvo še živelo v neskaljeni sreči prvobitnega življenja. Podobe živali so umeščene v domišljijske kompozicije, ki skrivajo bistroumna, duhovita in humorna sporočila. Z mojstrsko risbo in samosvojo uporabo barve v upodobljencih ohranja arhetipske značilnosti kot so magične moči mačke, zvestoba psa ali budnost zajca. Hkrati s povednimi naslovi te simbole obdeluje na izrazito sodoben način ter jih vključuje v vsakdanje vsebine.",https://www.visitljubljana.com/sl/obiskovalci/nacrtujte-svoj-obisk/prireditve/zlata-doba/
Pravljično drsališče in Pravljični vrtiljak,"  Datum: 01. 12. 2023 - 13. 02. 2024 
  Kraj: Ptuj 
  Tip: Zabavne prireditve, Otroške prireditve
  Organizator: Javne službe Ptuj 
","https://www.google.com/maps/dir/Current+Location/46.4208,15.872","
Vabljeni na Pravljično drsališče in vrtiljak. 
 Vabljeni na Pravljično drsališče in vrtiljak.  Na Pravljičnem drsališču na Mestni tržnici bomo ob primernih vremenskih pogojih lahko začutili pravo zimsko-praznično vzdušje.  Otroci se lahko ob primernih vremenskih pogojih zavrtijo tudi na Pravljičnem vrtiljaku na Miklošičevi ulici.  Pravljično drsališče ter Pravljični vrtiljak bosta decembra obratovala po naslednjem urniku:  Organizator: Javne službe Ptuj",https://visitptuj.eu/dozivite-ptuj/aktualni-dogodki/pravljicno-drsalisce-in-vrtiljak/
Ljubljana. Zgodovina. Mesto.,"  Datum: 01. 12. 2023 - 31. 12. 2030 
  Kraj: Ljubljana, Mestni muzej Ljubljana - MGML 
  Tip: Kulturne prireditve
  Opomba: Za več informacij obiščite spletno stran organizatorja. 
","https://www.google.com/maps/dir/Current+Location/46.055,14.504","
Spoznajte zgodovino Ljubljane, njen pomemben geostrateški položaj ter izjemne dogodke od prazgodovine do 20. stoletja.
 Spoznajte zgodovino Ljubljane, njen pomemben geostrateški položaj ter izjemne dogodke od prazgodovine do 20. stoletja. Ob prelomnicah, cesarjih in kraljih ter predsednikih, se na razstavi srečajte tudi z vsakdanjim življenjem v mestu in običajnimi ljudmi, ki so v mestu bivali in v njem pustili svoj pečat.",https://mgml.si/sl/mestni-muzej/razstave/273/ljubljana-zgodovina-mesto/
Lesene jaslice na Ljubljanskem gradu,"  Datum: 01. 12. 2023 ob 09:00 - 02. 02. 2024 ob 18:00
  Kraj: Ljubljana, Ljubljanski grad 
  Tip: Kulturne prireditve
","https://www.google.com/maps/dir/Current+Location/45.8172,14.5085","
Jaslice v Grajski kapeli so delo avtorja Mira Rismonda, bolj znanega po izdelovanju ledenih skulptur. 
 Jaslice v Grajski kapeli so delo avtorja Mira Rismonda, bolj znanega po izdelovanju ledenih skulptur.  Za grajsko kapelo je izdelal lesene jaslične figure v naravni velikosti.",https://www.visitljubljana.com/sl/obiskovalci/nacrtujte-svoj-obisk/prireditve/lesene-jaslice-na-ljubljanskem-gradu/
RAZSTAVA DIJAKOV IN DIJAKINJ UMETNIŠKE GIMNAZIJE PTUJ 2023,"  Datum: 19. 12. 2023 - 31. 03. 2024 
  Kraj: Ptuj, Fuerstova hiša Ptuj 
  Tip: Kulturne prireditve
","https://www.google.com/maps/dir/Current+Location/46.4183,15.8718","
Vabljeni na razstavo. 
 Vabljeni na razstavo.  ",https://visitptuj.eu/dozivite-ptuj/aktualni-dogodki/prva-razstava-dijakov-in-dijakinj-umetniske-gimnazije-ptuj-2023-2/
"RAZSTAVA IN? KAJ SMO ODKRILI?, Salon umetnosti","  Datum: 21. 12. 2023 - 21. 05. 2024 
  Kraj: Ptuj, Salon umetnosti 
  Tip: Kulturne prireditve
","https://www.google.com/maps/dir/Current+Location/46.419,15.8717"," RAZSTAVA IN? KAJ SMO ODKRILI?, Salon umetnosti Med arheološkimi raziskavami se arheologi redno srečujejo z radovednimi obiskovalci. Eno izmed najpogostejših vprašanj, ki jim ga zastavljajo, je “In? kaj ste odkrili?” Popeljali vas bomo skozi štiri najdišča Ptuja in njegove okolice, katerih odkritja so pomembno prispevala k obogatitvi kulturne dediščine na tem območju. Avtorici razstave: Iva Ciglar, Mojca Vomer Gojkovič (PMPO) Razstava je nastala v sodelovanju Pokrajinskega muzeja Ptuj – Ormož in PJP d.o.o. (Kaja Stemberger Flegar in Jasna Vinder) Več informacij: https://pmpo.si/obcasne_razstave/in-kaj-smo-odkrili/",https://visitptuj.eu/dozivite-ptuj/aktualni-dogodki/razstava-in-kaj-smo-odkrili-salon-umetnosti/
Festivalski utrip 2024,"  Datum: 01. 01. 2024 - 31. 12. 2024 
  Kraj: Ptuj 
  Tip: Festivali
","https://www.google.com/maps/dir/Current+Location/46.2293,15.8717"," Festivalski utrip v najstarejše slovensko mesto prinaša pisano paleto kulturnega dogajanja! Ptuj bo skozi vse leto in še posebej poleti obarvan z živahnimi odtenki glasbe, poezije, gledališča, likovne umetnosti in pouličnega ustvarjanja. Barvite ulice, terase, trgi in drugi zanimivi kotički mesta bodo služili kot razgibana kulisa za edinstvena doživetja. Izberite svoj odtenek zabave v starem mestu novih doživetij!  ",https://visitptuj.eu/dozivite-ptuj/aktualni-dogodki/festivalski-utrip-2024/
Človek in čas,"  Datum: 05. 01. 2024 - 31. 12. 2030 
  Kraj: Ljubljana, Slovenski etnografski muzej 
  Tip: Kulturne prireditve
","https://www.google.com/maps/dir/Current+Location/46.0502,14.5039","
Nova stalna razstava, ki je nastala ob 100-letnici muzeja, osvetljuje človekove predstave o času, ki bistveno vplivajo na ritem življenja in notranjo izkušnjo časa; narekujejo torej raznovrstne načine življenja ljudi v različnih prostorih, okoljih in obdobjih.
 Nova stalna razstava, ki je nastala ob 100-letnici muzeja, osvetljuje človekove predstave o času, ki bistveno vplivajo na ritem življenja in notranjo izkušnjo časa; narekujejo torej raznovrstne načine življenja ljudi v različnih prostorih, okoljih in obdobjih. Po drugi strani razstava osvetljuje 100 izbranih predmetov iz zbirk SEM, ki pripovedujejo vsak svojo neponovljivo zgodbo o svojem izvoru, izdelovalcih in uporabnikih, ter o njihovem življenju v muzeju.  Čas živimo, je del nas, obkroža nas na vsakem koraku od rojstva do smrti - ko nas požene v nič ali morda večnost ... Z njim potujemo skozi življenje v ritmu srčnega utripa, s tokom biološke ure, ujeti v sekunde, minute in ure, vpeti v cikličnost dnevov in noči, tednov, mesecev, let, razpeti med delom in prostim časom, med vsakdanjikom in praznikom, v ritmu življenjskih mejnikov in prehodov. Čas razbiramo v sebi in na sebi, na stvareh in v okolici ... Čas v nas slika spomine, utrjuje občutja varne trajnosti in pripadnosti, a tudi minljivosti in tujosti. Ustvari zanimanje za minulo, spodbudi potrebo po spremembi in prikliče skrb za prihodnost, na katero bi tako radi vplivali. Čas – raznolik in enoten hkrati – odpira vprašanja o začetkih in koncih, o končnem in neskončnem, o življenju daleč stran in tukaj zdaj. Tako odstira pravcato mnoštvo časov, ki nam – zdaj en, zdaj drug – uravnavajo potek življenja in izrisujejo različne podobe lastnega življenja, dogodkov, stvari, ljudi, krajev ...",https://www.etno-muzej.si/sl/razstave/clovek-in-cas-prvih-100
Drsališče Ledena pravljica na Pogačarjevem trgu,"  Datum: 15. 01. 2024 ob 11:00 - 29. 02. 2024 ob 21:00
  Kraj: Ljubljana, Pogačarjev trg 
  Tip: Otroške prireditve, Ostale prireditve
  Opomba: Na drsališču je obvezna uporaba zimskih rokavic. Otroke, mlajše od 6. leta, mora spremljati odrasla oseba. Uporaba drsališča, ki so ga uredili v Javnem podjetju Ljubljanska parkirišča in tržnice d.o.o., je na lastno 
","https://www.google.com/maps/dir/Current+Location/46.051,14.5075","
Na Pogačarjevem trgu bo od 15. januarja do 29. februarja 2024 urejeno drsališče. Drsali bomo lahko vsak dan od 11. ure naprej, izjema so le srede in četrtki med 18.00 in 22.00 (curling) ter ponedeljki in torki med 11.00 in 13.00, ko bodo na drsališču potekali tečaji drsanja za šole in vrtce.
 Na Pogačarjevem trgu bo od 15. januarja do 29. februarja 2024 urejeno drsališče. Drsali bomo lahko vsak dan od 11. ure naprej, izjema so le srede in četrtki med 18.00 in 22.00 (curling) ter ponedeljki in torki med 11.00 in 13.00, ko bodo na drsališču potekali tečaji drsanja za šole in vrtce. Uporaba drsališča stane 3 evre, možna pa je tudi izposoja drsalk za 5 evrov (vključujoč vstopnino) in pripomočka za drsanje »pingvin« za 3 evre. ",https://www.ljubljana.si/sl/aktualno/ledena-pravljica-na-pogacarjevem-trgu-2/
STRUKTURA ILUZIJE,"  Datum: 16. 01. 2024 - 10. 03. 2024 
  Kraj: Ptuj, Galerija mesta Ptuj 
  Tip: Kulturne prireditve
  Kontakt: +386 (0)2 779 60 11 info@visitptuj.eu 
","https://www.google.com/maps/dir/Current+Location/46.4199,15.8671"," Razstavljajo: Suzana Brborović, Beti Bricelj, Andrej Božič, Nina Čelhar, Meta Drčar, Dušan Fišer, Robert Lozar, Roman Makše, Katja Pál, Borut Popenko, Sandi Renko, Jasna Samarin, Marko Tušek. ",https://visitptuj.eu/dozivite-ptuj/aktualni-dogodki/struktura-iluzije/
Maja Babič Košir: Ciao Amore,"  Datum: 17. 01. 2024 - 11. 03. 2024 
  Kraj: Ljubljana, Ravnikar Gallery Space 
  Tip: Kulturne prireditve
  Opomba: Za več informacij obiščite spletno stran orgnizatorja. V okviru razstave bo na voljo tudi v 
  
","https://www.google.com/maps/dir/Current+Location/46.047,14.503","
Ciao Amore je predstavitev najnovejše umetniške produkcije vizualne umetnice Maje Babič Košir.
 Ciao Amore je predstavitev najnovejše umetniške produkcije vizualne umetnice Maje Babič Košir. Razstava izhaja iz najdenih ali avtorici zapuščenih predmetov in materialov, ki jih v procesu umetniške intervencije na novo uporabi, predrugači in jih postavi v nove kontekste, tem delom pa bo pridružila tudi video in zvok. Umetničina praksa se posveča preučevanju in razumevanju minljivosti, trpkosti izgube in ohranjanja spomina, ki ne pomenijo odsotnosti ljubezni, pač pa prav nasprotno – so relikt pretekle ljubezni.",
Nuša Smolič - Razstava Refleksija odseva,"  Datum: 19. 01. 2024 - 29. 02. 2024 
  Kraj: Pivka, Galerija Krpanovega doma, Prečna ulica 1 
  Tip: Kulturne prireditve
  Kontakt: Občina Pivka, Zavod za turizem Pivka +386 (0) 30 644 799 info@visitpivka.si 
","https://www.google.com/maps/dir/Current+Location/45.6835,14.195","
V medčloveških odnosih posameznikova notranjost odseva skozi vsakdanje življenje. Srečanja so živa ogledala, ki nam omogočajo videti lastne eksistence odseve. Vsak odnos je priložnost za raziskovanje potencialov in introspekcijo. Umetnica z razstavo vabi obiskovalce, da prepoznajo, kako odsevi oblikujejo mozaik resničnosti. Vsak odsev ponuja priložnost za rast, raziskovanje in povezovanje z notranjo bitjo. Razstava predstavlja portrete različnih izrazov in nas vabi v svet gledanja-videnja.
 V medčloveških odnosih posameznikova notranjost odseva skozi vsakdanje življenje. Srečanja so živa ogledala, ki nam omogočajo videti lastne eksistence odseve. Vsak odnos je priložnost za raziskovanje potencialov in introspekcijo. Umetnica z razstavo vabi obiskovalce, da prepoznajo, kako odsevi oblikujejo mozaik resničnosti. Vsak odsev ponuja priložnost za rast, raziskovanje in povezovanje z notranjo bitjo. Razstava predstavlja portrete različnih izrazov in nas vabi v svet gledanja-videnja. Refleksija odseva predstavlja šesto poglavje v pripovedi serije samostojnih razstav, ki jih akademska slikarka Nuša Smolič razvija v okviru svojega projekta zadnjega leta. Predstavitve njenih razstav potekajo v raznolikih krajih, kjer vsak kraj prispeva svoje edinstvene značilnosti in vsaka od razstav oblikuje svoj unikaten koncept. So svojevrsten preporod razmišljanja v njen umetniški svet – tako na platnu kot izraz-odraz njenega notranjega sveta. V oktobru 2022 se je predstavila s prvo od serije razstav v mariborskem Sodnem stolpu, z enomesečno predstavitvijo z naslovom Opuščanje vedenja, v novembru 2022 z drugo od serije razstav svojega projekta s 4-dnevnim umetniškim festivalom v L56 prostoru v Ljubljani, kjer je otvorila razstavo Resurrection/Vstajenje in znotraj nje udejanjila 4-dnevni umetniški festival z umetniškim programom raznih delavnic, predavanji, vodenimi ogledi itd. V decembru 2022 se je izrazila s tretjo iz serije, z enomesečno razstavo Jasno-videnje v Kulturno kongresnem centru v Dolenjskih Toplicah in že nadaljevala z januarjem 2023 z enomesečno razstavo z naslovom Prisotnost. Tukaj. Zdaj. v izolski galeriji Salsaverde, ki je bila tako njena četrta zapovrstjo. S peto iz serije svojega projekta se je predstavila v juniju 2023 na gradu Snežnik z naslovom Si(e)nergija in je trajala en mesec. Tako je Refleksija odseva v Galeriji Krpanovega doma že šesta iz serije njenega projekta predstavitev samostojnih razstav z različnimi koncepti in se z njo predstavi na več kot enomesečni predstavitvi v Pivki.",https://visitpivka.si/odprtje-razstave-akademske-slikarke-nuse-smolic-refleksija-odseva/
SNG Opera balet Maribor: FAUST,"  Datum: 26. 01. 2024 - 02. 02. 2024 
  Kraj: Ljubljana, Gallusova dvorana, Cankarjev dom 
  Tip: Glasbene prireditve
","https://www.google.com/maps/dir/Current+Location/46.5567,15.6444","
Predstava visokega ritma, ki nenehno navdušuje z drobnimi detajli, antologijsko zgodbo pa podpirata močna dramaturgija in prepoznavna »clugovska« forma.
 
 Predstava visokega ritma, ki nenehno navdušuje z drobnimi detajli, antologijsko zgodbo pa podpirata močna dramaturgija in prepoznavna »clugovska« forma.
  Baleti koreografa romunskega rodu Edwarda Cluga so skrajno fizične, a hkrati poetične stvaritve, plesna dela, ki se poigravajo z manirizmi in ironijami človeškega bivanja. Novi Faust je nadvse ambiciozen podvig, katerega uspeh kot pristnega narativnega baleta, plesnega gledališča pogojuje veliko več kot zgolj gibanje.  Avtor partiture – bujno razplastene orkestralne glasbe, ptičjega petja, popevk in ambientalnih zvokov – je Milko Lazar, dolgoletni sodelavec Edwarda Cluga. Scenograf Marko Japelj, prav tako Clugov stalni sodelavec, je podpisan pod kompleksno odrsko sliko, ki se zdi enako koreografirana kot plesno gibanje samo. Scenska oprema prevladujoče »črne škatle«, premični zasloni in video projekcije nas popeljejo iz interierjev na vrtove, iz nebes v pekel. Predstavo si lahko ogledate v enem izmed spodnjih terminov:",https://www.cd-cc.si/kultura/gledalisce-in-ples/edward-clug-faust
