Name,Date,Details,Description
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,27. januar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Slikarsko – ustvarjalna razstava: PRAZNIČNI UTRINKI,27. januar 2024,"Gorenja vas - Poljane Krajevna knjižnica Gorenja vas, Poljanska cesta 87, 4224 Gorenja vas razstava ","Več: gorenjavas@knjiznica-skofjaloka.si, 04 510 71 00, 041 442 095
"
Zven in odtis kamna,27. januar 2024,Škofja Loka Sokolski dom Škofja Loka Razstava ,"Rdeča nit prve razstave v
novem letu v Sokolskem domu Škofja Loka bo kamen. Razstava Zven in odtis kamna bo na ogled od 18. 1. 2024 do vključno 8. 2.
2024 v Galeriji Sokolskega doma Škofja Loka.
Svoje kamnite zveneče skulpture bo razstavilaAlenka Vidrgar. Na ogled bodo še litografije mlade grafičarke Monike Plemen.
Obe avtorici sta
študirali na Pedagoški fakulteti in Akademiji za likovno umetnost in
oblikovanje Univerze v Ljubljani. Razstavljali sta na več samostojnih in
skupinskih razstavah, tako v Sloveniji kot tudi v tujini.
Razstavo si lahko ogledate
v delovnem času Sokolskega doma:torek–petek: 10.00–12.00 in 17.00–19.00,sobota: 9.30–12.30,nedelja: 9.30–12.30 in 17.00–19.00,ponedeljki in prazniki: zaprto.
Več: Zavod 973, ema.nunar@zavod973.si
Sokolski dom Škofja Loka, 04 511 23 35, info@sokolskidom.si
"
Tatjana Peršuh: AGATA VISOŠKA,27. januar 2024,Škofja Loka Loški oder Škofja Loka Gledališka predstava ,"Gledališka predstava 
T: 04 512 08
50
M: 041 730
982
"
Ustvari svoj avtoportret! Muzejska slikarska delavnica za otroke in družine,27. januar 2024,Škofja Loka Loški muzej Škofja Loka Kulturna prireditev ,"Pridružite se nam na prvi muzejski
delavnici za otroke v novem letu! 
Tokrat se bomo pozabavali z barvami in
čopiči! Osredotočili se bomo na portretno slikarstvo in si za navdih ogledali
različne vrste portretov iz umetnostnozgodovinske zbirke Loškega muzeja, nato
pa se bomo preizkusili v slikanju samih sebe. Spoznali bomo nekaj osnovnih
navodil za portretiranje in razmišljali, kako z njimi izraziti tudi naše
lastnosti in občutja. Naj se novo leto začne z avtoportretom!
Za pomoč pri slikanju predlagamo, da s
seboj prinesete ogledalce.
Na delavnici so v spremstvu staršev
dobrodošli tudi predšolski otroci. Dogodek poteka sočasno z Grajsko matinejo.
Več: info@loski-muzej.si, 04 517 04 00
"
Grajska matineja: vodeni ogled Loškega muzeja in kava v Grajski kavarni Škofja Loka,27. januar 2024,Škofja Loka Loški muzej Škofja Loka Kulturni dogodek ,
Dobrodelni koncert Lions kluba Škofja Loka »Pomagajmo skupaj«,27. januar 2024,Škofja Loka Športna dvorana Trata Škofja Loka Koncert ,"Lions klub Škofja Loka vabi na veliki dobrodelni koncert »Pomagajmo
skupaj«, ki bo v soboto, 27. januarja, ob 19. uri v Športni dvorani Trata v
Škofji Loki. Nastopil bo Big Band Bled pod vodstvom Škofjeločana Primoža
Grašiča s solisti: Otom Pestnerjem, Alenko Godec in Urošem Perićem.
 
Vstopnice po 15 evrov so na prodaj na prodajnih mestih Eventim, v TIC-u
Škofja Loka na Cankarjevem trgu in v prostorih Gorenjskega glasa v Kranju, na
voljo pa bodo tudi uro pred koncertom na blagajni dvorane na Trati.


Mira Bergant, Lions klub
Škofja Loka

"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022",28. januar 2024,"Škofja Loka Okrogli stolp, Loški muzej Škofja Loka Kulturni dogodek ","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.

Vabljeni!

Foto: 
Levo: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960
Desno: Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022
Več: info@loski-muzej.si, 04 517 04 00
"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,28. januar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Slikarsko – ustvarjalna razstava: PRAZNIČNI UTRINKI,28. januar 2024,"Gorenja vas - Poljane Krajevna knjižnica Gorenja vas, Poljanska cesta 87, 4224 Gorenja vas razstava ","Več: gorenjavas@knjiznica-skofjaloka.si, 04 510 71 00, 041 442 095
"
Zven in odtis kamna,28. januar 2024,Škofja Loka Sokolski dom Škofja Loka Razstava ,"Rdeča nit prve razstave v
novem letu v Sokolskem domu Škofja Loka bo kamen. Razstava Zven in odtis kamna bo na ogled od 18. 1. 2024 do vključno 8. 2.
2024 v Galeriji Sokolskega doma Škofja Loka.
Svoje kamnite zveneče skulpture bo razstavilaAlenka Vidrgar. Na ogled bodo še litografije mlade grafičarke Monike Plemen.
Obe avtorici sta
študirali na Pedagoški fakulteti in Akademiji za likovno umetnost in
oblikovanje Univerze v Ljubljani. Razstavljali sta na več samostojnih in
skupinskih razstavah, tako v Sloveniji kot tudi v tujini.
Razstavo si lahko ogledate
v delovnem času Sokolskega doma:torek–petek: 10.00–12.00 in 17.00–19.00,sobota: 9.30–12.30,nedelja: 9.30–12.30 in 17.00–19.00,ponedeljki in prazniki: zaprto.
Več: Zavod 973, ema.nunar@zavod973.si
Sokolski dom Škofja Loka, 04 511 23 35, info@sokolskidom.si
"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022",29. januar 2024,"Škofja Loka Okrogli stolp, Loški muzej Škofja Loka Kulturni dogodek ","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.

Vabljeni!

Foto: 
Levo: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960
Desno: Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022
Več: info@loski-muzej.si, 04 517 04 00
"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,29. januar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Slikarsko – ustvarjalna razstava: PRAZNIČNI UTRINKI,29. januar 2024,"Gorenja vas - Poljane Krajevna knjižnica Gorenja vas, Poljanska cesta 87, 4224 Gorenja vas razstava ","Več: gorenjavas@knjiznica-skofjaloka.si, 04 510 71 00, 041 442 095
"
Športno streljanje,29. januar 2024,"Škofja Loka Na strelišču Strelskega društva Škofja Loka, Partizanska cesta 1c, v Škofji Loki (nekdanja vojašnica). športna prireditev ","Več: Lejla Mahmutović,
040 551 804,, strelci.skofjaloka@gmail.com
"
KLJEKLJARSKA DELAVNICA,29. januar 2024,"Žiri Krajevna Knjižnica Žiri, Tabor 2, Žiri Delavnice za odrasle ","Več: Tanja Mlinar, 040 425 120
"
KLJEKLJARSKA DELAVNICA,29. januar 2024,"Žiri Krajevna Knjižnica Žiri, Tabor 2, Žiri delavnica za odrasle ","Več: Tanja Mlinar, 040 425 120
"
Zven in odtis kamna,29. januar 2024,Škofja Loka Sokolski dom Škofja Loka Razstava ,"Rdeča nit prve razstave v
novem letu v Sokolskem domu Škofja Loka bo kamen. Razstava Zven in odtis kamna bo na ogled od 18. 1. 2024 do vključno 8. 2.
2024 v Galeriji Sokolskega doma Škofja Loka.
Svoje kamnite zveneče skulpture bo razstavilaAlenka Vidrgar. Na ogled bodo še litografije mlade grafičarke Monike Plemen.
Obe avtorici sta
študirali na Pedagoški fakulteti in Akademiji za likovno umetnost in
oblikovanje Univerze v Ljubljani. Razstavljali sta na več samostojnih in
skupinskih razstavah, tako v Sloveniji kot tudi v tujini.
Razstavo si lahko ogledate
v delovnem času Sokolskega doma:torek–petek: 10.00–12.00 in 17.00–19.00,sobota: 9.30–12.30,nedelja: 9.30–12.30 in 17.00–19.00,ponedeljki in prazniki: zaprto.
Več: Zavod 973, ema.nunar@zavod973.si
Sokolski dom Škofja Loka, 04 511 23 35, info@sokolskidom.si
"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022",30. januar 2024,"Škofja Loka Okrogli stolp, Loški muzej Škofja Loka Kulturni dogodek ","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.

Vabljeni!

Foto: 
Levo: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960
Desno: Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022
Več: info@loski-muzej.si, 04 517 04 00
"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,30. januar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Slikarsko – ustvarjalna razstava: PRAZNIČNI UTRINKI,30. januar 2024,"Gorenja vas - Poljane Krajevna knjižnica Gorenja vas, Poljanska cesta 87, 4224 Gorenja vas razstava ","Več: gorenjavas@knjiznica-skofjaloka.si, 04 510 71 00, 041 442 095
"
Zven in odtis kamna,30. januar 2024,Škofja Loka Sokolski dom Škofja Loka Razstava ,"Rdeča nit prve razstave v
novem letu v Sokolskem domu Škofja Loka bo kamen. Razstava Zven in odtis kamna bo na ogled od 18. 1. 2024 do vključno 8. 2.
2024 v Galeriji Sokolskega doma Škofja Loka.
Svoje kamnite zveneče skulpture bo razstavilaAlenka Vidrgar. Na ogled bodo še litografije mlade grafičarke Monike Plemen.
Obe avtorici sta
študirali na Pedagoški fakulteti in Akademiji za likovno umetnost in
oblikovanje Univerze v Ljubljani. Razstavljali sta na več samostojnih in
skupinskih razstavah, tako v Sloveniji kot tudi v tujini.
Razstavo si lahko ogledate
v delovnem času Sokolskega doma:torek–petek: 10.00–12.00 in 17.00–19.00,sobota: 9.30–12.30,nedelja: 9.30–12.30 in 17.00–19.00,ponedeljki in prazniki: zaprto.
Več: Zavod 973, ema.nunar@zavod973.si
Sokolski dom Škofja Loka, 04 511 23 35, info@sokolskidom.si
"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022",31. januar 2024,"Škofja Loka Okrogli stolp, Loški muzej Škofja Loka Kulturni dogodek ","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.

Vabljeni!

Foto: 
Levo: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960
Desno: Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022
Več: info@loski-muzej.si, 04 517 04 00
"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,31. januar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Slikarsko – ustvarjalna razstava: PRAZNIČNI UTRINKI,31. januar 2024,"Gorenja vas - Poljane Krajevna knjižnica Gorenja vas, Poljanska cesta 87, 4224 Gorenja vas razstava ","Več: gorenjavas@knjiznica-skofjaloka.si, 04 510 71 00, 041 442 095
"
Športno streljanje,31. januar 2024,"Škofja Loka Na strelišču Strelskega društva Škofja Loka, Partizanska cesta 1c, v Škofji Loki (nekdanja vojašnica). športna prireditev ","Več: Lejla Mahmutović,
040 551 804,, strelci.skofjaloka@gmail.com
"
